x2.1,x2.2,x2.3,x2.4,y
0.195,0.39,0.427,0.149,40.1
0.195,0.393,0.431,0.157,40.3
0.195,0.356,0.431,0.172,39.9
0.182,0.337,0.474,0.144,40.1
0.172,0.329,0.439,0.134,40.3
0.173,0.242,0.383,0.472,41
0.172,0.256,0.385,0.44,41.1
0.189,0.261,0.388,0.415,40.9
0.182,0.25,0.376,0.431,40.95
0.188,0.24,0.366,0.404,41
0.188,0.23,0.361,0.402,41.1
0.195,0.213,0.379,0.412,40.9
0.189,0.227,0.367,0.413,40.95
0.123,0.195,0.348,0.494,40.1
0.129,0.195,0.348,0.525,40.2
0.132,0.195,0.353,0.534,39.9
0.141,0.19,0.354,0.534,40.1
0.138,0.195,0.355,0.546,40.2
0.138,0.189,0.359,0.532,39.9
0.14,0.193,0.361,0.549,40.1
0.149,0.192,0.361,0.545,40.2
0.136,0.189,0.361,0.541,39.9
0.136,0.188,0.364,0.549,40.1
0.129,0.195,0.366,0.545,40.2
0.122,0.241,0.367,0.547,39.9
0.129,0.232,0.365,0.543,40.1
0.146,0.23,0.373,0.547,40.2
0.123,0.227,0.368,0.438,39.9
