x5.1,x5.2,x5.3,x5.4,y
0.717,0.808,0.904,0.621,40.1
0.735,0.813,0.903,0.636,40.3
0.724,0.809,0.906,0.647,39.9
0.701,0.808,0.92,0.621,40.1
0.715,0.812,0.906,0.613,40.3
0.661,0.757,0.879,0.904,41
0.686,0.754,0.88,0.906,41.1
0.686,0.747,0.865,0.911,40.9
0.684,0.721,0.839,0.909,40.95
0.679,0.748,0.832,0.903,41
0.676,0.79,0.831,0.903,41.1
0.683,0.789,0.829,0.904,40.9
0.687,0.796,0.832,0.91,40.95
0.613,0.728,0.802,0.855,40.1
0.605,0.703,0.808,0.895,40.2
0.611,0.718,0.811,0.893,39.9
0.622,0.738,0.811,0.892,40.1
0.612,0.745,0.82,0.895,40.2
0.619,0.715,0.816,0.897,39.9
0.617,0.722,0.812,0.896,40.1
0.62,0.717,0.815,0.895,40.2
0.608,0.732,0.81,0.896,39.9
0.602,0.729,0.818,0.895,40.1
0.691,0.732,0.816,0.892,40.2
0.619,0.748,0.814,0.897,39.9
0.677,0.753,0.818,0.897,40.1
0.636,0.747,0.817,0.896,40.2
0.607,0.736,0.812,0.898,39.9
