Date,x1,x2,x3,x4,x5,x6,x7,x8,y
27-Feb-20,0.561,0.361,0.273,3.924,0.815,0.471,0.533,31.000,40.200
18-Mar-20,0.711,0.545,0.356,4.183,0.895,0.506,0.702,139.000,40.200
18-Jan-20,0.230,0.136,0.137,1.826,0.608,0.139,0.327,50.200,39.900
07-Feb-20,0.345,0.189,0.182,3.154,0.732,0.210,0.450,33.500,39.900
27-Feb-20,0.564,0.361,0.266,3.882,0.810,0.466,0.525,31.000,39.900
18-Mar-20,0.752,0.541,0.352,4.218,0.896,0.524,0.703,139.000,39.900
18-Jan-20,0.233,0.136,0.142,1.625,0.602,0.131,0.325,50.200,40.100
07-Feb-20,0.337,0.188,0.185,3.080,0.729,0.226,0.430,33.500,40.100
27-Feb-20,0.570,0.364,0.260,3.913,0.818,0.452,0.532,31.000,40.100
18-Mar-20,0.768,0.549,0.343,4.159,0.895,0.501,0.696,139.000,40.100
18-Jan-20,0.282,0.129,0.185,2.015,0.691,0.116,0.319,50.200,40.200
07-Feb-20,0.357,0.195,0.191,3.224,0.732,0.222,0.458,33.500,40.200
27-Feb-20,0.571,0.366,0.270,3.862,0.816,0.440,0.538,31.000,40.200
18-Mar-20,0.774,0.545,0.333,4.196,0.892,0.511,0.702,139.000,40.200
18-Jan-20,0.241,0.122,0.146,1.884,0.619,0.115,0.306,50.200,39.900
07-Feb-20,0.371,0.241,0.189,3.552,0.748,0.218,0.479,33.500,39.900
27-Feb-20,0.574,0.367,0.270,3.771,0.814,0.438,0.532,31.000,39.900
18-Mar-20,0.774,0.547,0.324,4.315,0.897,0.512,0.693,139.000,39.900
18-Jan-20,0.270,0.129,0.156,2.015,0.677,0.110,0.312,50.200,40.100
07-Feb-20,0.369,0.232,0.185,3.601,0.753,0.214,0.461,33.500,40.100
27-Feb-20,0.571,0.365,0.265,3.997,0.818,0.436,0.528,31.000,40.100
18-Mar-20,0.775,0.543,0.317,4.161,0.897,0.541,0.702,139.000,40.100
18-Jan-20,0.225,0.146,0.117,1.541,0.636,0.118,0.310,50.200,40.200
07-Feb-20,0.358,0.230,0.203,3.165,0.747,0.214,0.458,33.500,40.200
27-Feb-20,0.554,0.373,0.269,3.992,0.817,0.449,0.526,31.000,40.200
18-Mar-20,0.758,0.547,0.351,4.134,0.896,0.553,0.703,139.000,40.200
18-Jan-20,0.209,0.123,0.108,1.579,0.607,0.139,0.312,50.200,39.900
07-Feb-20,0.351,0.227,0.208,3.050,0.736,0.210,0.442,33.500,39.900
27-Feb-20,0.558,0.368,0.277,3.958,0.812,0.455,0.527,31.000,39.900
18-Mar-20,0.673,0.438,0.355,4.001,0.898,0.533,0.636,139.000,39.900
