x3.1,x3.2,x3.3,x3.4,y
0.103,0.117,0.164,0.087,40.1
0.101,0.113,0.167,0.086,40.3
0.11,0.115,0.171,0.085,39.9
0.106,0.108,0.159,0.083,40.1
0.115,0.109,0.166,0.094,40.3
0.099,0.182,0.302,0.335,41
0.097,0.187,0.331,0.334,41.1
0.117,0.202,0.323,0.347,40.9
0.119,0.21,0.307,0.347,40.95
0.119,0.22,0.293,0.345,41
0.112,0.204,0.273,0.339,41.1
0.108,0.207,0.263,0.345,40.9
0.108,0.207,0.261,0.345,40.95
0.11,0.197,0.271,0.348,40.1
0.108,0.193,0.273,0.356,40.2
0.114,0.19,0.265,0.355,39.9
0.127,0.191,0.267,0.356,40.1
0.132,0.189,0.268,0.356,40.2
0.141,0.182,0.263,0.357,39.9
0.135,0.182,0.265,0.355,40.1
0.132,0.181,0.273,0.356,40.2
0.137,0.182,0.266,0.352,39.9
0.142,0.185,0.26,0.343,40.1
0.185,0.191,0.27,0.333,40.2
0.146,0.189,0.27,0.324,39.9
0.156,0.185,0.265,0.317,40.1
0.117,0.203,0.269,0.351,40.2
0.108,0.208,0.277,0.355,39.9
