x6.1,x6.2,x6.3,x6.4,y
0.218,0.436,0.513,0.513,40.1
0.226,0.456,0.528,0.528,40.3
0.223,0.467,0.506,0.506,39.9
0.213,0.463,0.524,0.524,40.1
0.202,0.45,0.551,0.551,40.3
0.169,0.329,0.486,0.513,41
0.167,0.337,0.51,0.501,41.1
0.157,0.325,0.421,0.504,40.9
0.17,0.33,0.493,0.514,40.95
0.158,0.313,0.489,0.506,41
0.145,0.32,0.491,0.512,41.1
0.154,0.329,0.502,0.533,40.9
0.169,0.325,0.49,0.521,40.95
0.125,0.223,0.426,0.461,40.1
0.126,0.226,0.44,0.51,40.2
0.134,0.225,0.462,0.526,39.9
0.118,0.215,0.474,0.514,40.1
0.116,0.223,0.477,0.514,40.2
0.144,0.23,0.483,0.513,39.9
0.12,0.225,0.474,0.528,40.1
0.116,0.221,0.471,0.506,40.2
0.139,0.21,0.466,0.524,39.9
0.131,0.226,0.452,0.501,40.1
0.116,0.222,0.44,0.511,40.2
0.115,0.218,0.438,0.512,39.9
0.11,0.214,0.436,0.541,40.1
0.118,0.214,0.449,0.553,40.2
0.139,0.21,0.455,0.533,39.9
